"original_id","vocalization","mean","Confident","NeedsReview","NuConfToVer","NuNeedsRevToVer"
"PISI","Call",0.918276945605269,12,0,12,0
"BARS","Call",0.919982359344702,1,0,1,0
"NESP","Song",0.926604336730529,1,1,1,1
"MAWR","Call",0.926911896818394,1,0,1,0
"BCCH","Call",0.927073724479348,4,0,4,0
"BCCH","Song",0.927073724479348,10,0,10,0
"RBNU","Call",0.929180703400586,6,0,6,0
"RBNU","Song",0.929180703400586,3,0,3,0
"EAKI","Call",0.933492567685857,4,1,4,1
"EAKI","Song",0.933492567685857,1,0,1,0
"GRCA","Call",0.935857183317525,3,0,3,0
"GRCA","Song",0.935857183317525,6,0,6,0
"VESP","Call",0.937925718556371,1,0,1,0
"BWTE","Call",0.938207416342701,1,0,1,0
"COGR","Call",0.939363067542885,2,1,2,1
"AMWI","Call",0.941957643132924,2,0,2,0
"BANS","Call",0.942157833346386,1,0,1,0
"SEWR","Song",0.966473269245895,4,0,4,0
"UNQK","Call",0.738186133364236,3,0,3,0
"UNYE","Call",0.746700242328778,14,0,5,0
"UNYE","Song",0.746700242328778,2,0,2,0
"UNGU","Call",0.783658504904911,8,2,5,2
"UNFL","Call",0.797176524844716,2,0,2,0
"UNFL","Song",0.797176524844716,1,0,1,0
"UNOW","Song",0.80612944991421,1,0,1,0
"UNSH","Song",0.80612944991421,0,1,0,1
"UNFR","Song",0.807197828780958,3,0,3,0
"UNWT","Call",0.808791984570266,5,0,5,0
"UNWT","Non-vocal",0.808791984570266,1,0,1,0
"UNBT","Song",0.809321128210593,7,0,5,0
"UNTR","Call",0.825045205851483,0,1,0,1
"UNTR","Song",0.825045205851483,40,0,5,0
"UNVI","Song",0.826207293381715,1,1,1,1
"UNDU","Call",0.840364055816267,41,2,5,2
"UNDU","Non-vocal",0.840364055816267,1,0,1,0
"UNWO","Call",0.854595815152364,3,0,3,0
"UNWO","Non-vocal",0.854595815152364,20,0,5,0
"UNWO","Song",0.854595815152364,17,2,5,2
"UNKN","Call",0.861285414133502,8,7,5,7
"UNKN","Non-vocal",0.861285414133502,4,0,4,0
"UNKN","Song",0.861285414133502,1,0,1,0
"UNWA","Song",0.868265950084701,27,5,5,5
"UNTH","Call",0.872717306814607,3,0,3,0
"UNTH","Song",0.872717306814607,2,0,2,0
"UNBI","Call",0.881872687963511,64,18,5,18
"UNBI","Non-vocal",0.881872687963511,42,1,5,1
"UNBI","Song",0.881872687963511,12,2,5,2
"UNSP","Call",0.885715835400375,1,1,1,1
"UNMA","Call",0.88880010017823,0,1,0,1
"UNMA","Non-vocal",0.88880010017823,3,1,3,1
"UNMA","Song",0.88880010017823,2,1,2,1
"UNBL","Call",0.893990458716478,10,0,5,0
"UNPA","Call",0.929313497567261,231,5,5,5
"UNPA","Non-vocal",0.929313497567261,26,1,5,1
"UNPA","Song",0.929313497567261,42,9,5,9
"SOSP","Song",0.565190127990266,41,2,15,2
"WIWA","Song",0.62998489412334,21,0,15,0
"BLPW","Song",0.665723289539802,64,1,15,1
"MAWA","Song",0.70499642152136,64,3,15,3
"WCSP","Song",0.712781286929948,101,0,15,0
"DEJU","Song",0.741167698483381,188,13,15,13
"SAVS","Song",0.748652186361761,118,0,15,0
"WWCR","Song",0.78434173960694,5,1,5,1
"PAWA","Song",0.790507687240322,69,0,15,0
"YEWA","Song",0.794957823935689,120,4,15,4
"BAWW","Song",0.795972818751628,78,0,15,0
"YRWA","Song",0.797136390348598,220,9,15,9
"SORA","Song",0.797629230112178,38,0,15,0
"BHVI","Song",0.799034584903904,28,0,15,0
"REDP","Song",0.800127554908219,1,0,1,0
"CHSP","Song",0.809038116521066,189,3,15,3
"AMRE","Song",0.809355604102996,226,4,15,4
"LALO","Song",0.810597894289286,14,0,14,0
"LTDU","Song",0.811016704047033,26,0,15,0
"SMLO","Song",0.811595828392904,34,0,15,0
"LESA","Song",0.815583627737991,15,0,15,0
"SWSP","Song",0.817835979757511,187,0,15,0
"GCTH","Song",0.817911875004273,18,0,15,0
"WIPT","Song",0.819557198855416,28,1,15,1
"ATSP","Song",0.822905002370574,82,0,15,0
"MODO","Song",0.82935497916815,61,0,15,0
"WHIM","Song",0.831433088642402,55,1,15,1
"LEFL","Song",0.84116463371548,31,0,15,0
"OCWA","Song",0.844127591445958,62,5,15,5
"RESQ","Song",0.844214967146788,11,0,11,0
"RWBL","Song",0.852068517938539,88,0,15,0
"CAJA","Song",0.852856880269349,4,0,4,0
"AMCR","Song",0.858457519120857,7,0,7,0
"CSWA","Song",0.859338911844095,156,3,15,3
"NOWA","Song",0.865997428443673,88,2,15,2
"BLBW","Song",0.866659164678261,66,2,15,2
"AMRO","Song",0.866871727073609,244,3,15,3
"REVI","Song",0.867792703490936,216,0,15,0
"MOWA","Song",0.868157945323827,69,1,15,1
"CORA","Song",0.87055788682209,2,0,2,0
"PBGR","Song",0.876266744482819,16,1,15,1
"GRYE","Song",0.878240671949885,24,1,15,1
"NAWA","Song",0.883228123984333,150,4,15,4
"COLO","Song",0.886330298854529,38,1,15,1
"YBSA","Song",0.895522718485158,20,0,15,0
"BLJA","Song",0.895558751406341,1,0,1,0
"YBFL","Song",0.903560913382969,52,0,15,0
"AMBI","Song",0.907306612892725,47,0,15,0
"SACR","Song",0.908326054921504,12,0,12,0
"COYE","Song",0.910680905087879,192,0,15,0
"RBGR","Song",0.913047446294028,61,0,15,0
"RCKI","Song",0.916662972333389,134,0,15,0
"FOSP","Song",0.916715660692926,275,1,15,1
"CCSP","Song",0.918134780483469,44,0,15,0
"BCFR","Song",0.922125713320598,32,0,15,0
"BTNW","Song",0.924287353400684,22,0,15,0
"BOGU","Song",0.926835383696403,1,0,1,0
"TEWA","Song",0.939750810252248,217,1,15,1
"CANG","Song",0.940952416137042,14,0,14,0
"VEER","Song",0.941755481083602,71,0,15,0
"CEDW","Song",0.942409721162214,6,0,6,0
"WISN","Song",0.944147516880041,211,2,15,2
"LISP","Song",0.944621835185347,189,3,15,3
"HETH","Song",0.94889248942475,281,2,15,2
"ALFL","Song",0.954365362763847,83,0,15,0
"LCSP","Song",0.954551153856033,46,0,15,0
"WIWR","Song",0.955052575104237,33,0,15,0
"SWTH","Song",0.966485423845985,283,3,15,3
"RUGR","Song",0.96883599212021,74,0,15,0
"OVEN","Song",0.971573564595885,219,0,15,0
"WTSP","Song",0.98535653896891,525,2,15,2
"ATTW","Non-vocal",0.551022021711119,1,0,1,0
"DOWO","Non-vocal",0.626905978038192,1,0,1,0
"PIWO","Non-vocal",0.769759880108815,2,0,2,0
"WBBE","Non-vocal",0.826207293381715,2,0,2,0
"BBWO","Non-vocal",0.835293506142499,1,0,1,0
"RESQ","Non-vocal",0.844214967146788,1,0,1,0
"YBSA","Non-vocal",0.895522718485158,8,0,8,0
"RTHU","Non-vocal",0.9003034072574,1,1,1,1
"BEAV","Non-vocal",0.905458902208393,3,0,3,0
"WISN","Non-vocal",0.944147516880041,22,0,15,0
"RUGR","Non-vocal",0.96883599212021,20,0,15,0
"DEJU","Call",0.741167698483381,2,0,2,0
"WWCR","Call",0.78434173960694,36,0,15,0
"YRWA","Call",0.797136390348598,2,1,2,1
"SORA","Call",0.797629230112178,24,0,15,0
"REDP","Call",0.800127554908219,24,0,15,0
"CHSP","Call",0.809038116521066,0,1,0,1
"LALO","Call",0.810597894289286,3,0,3,0
"LTDU","Call",0.811016704047033,13,0,13,0
"SMLO","Call",0.811595828392904,4,0,4,0
"LESA","Call",0.815583627737991,4,0,4,0
"GCTH","Call",0.817911875004273,3,0,3,0
"WIPT","Call",0.819557198855416,22,2,15,2
"MODO","Call",0.82935497916815,5,0,5,0
"WHIM","Call",0.831433088642402,15,4,15,4
"RESQ","Call",0.844214967146788,126,3,15,3
"RWBL","Call",0.852068517938539,36,0,15,0
"CAJA","Call",0.852856880269349,129,4,15,4
"AMCR","Call",0.858457519120857,81,0,15,0
"AMRO","Call",0.866871727073609,98,0,15,0
"REVI","Call",0.867792703490936,0,1,0,1
"CORA","Call",0.87055788682209,90,0,15,0
"PBGR","Call",0.876266744482819,2,0,2,0
"GRYE","Call",0.878240671949885,36,0,15,0
"COLO","Call",0.886330298854529,78,1,15,1
"YBSA","Call",0.895522718485158,16,0,15,0
"BLJA","Call",0.895558751406341,20,0,15,0
"YBFL","Call",0.903560913382969,9,0,9,0
"AMBI","Call",0.907306612892725,1,0,1,0
"SACR","Call",0.908326054921504,66,0,15,0
"COYE","Call",0.910680905087879,2,0,2,0
"RBGR","Call",0.913047446294028,2,0,2,0
"RCKI","Call",0.916662972333389,1,0,1,0
"BOGU","Call",0.926835383696403,36,4,15,4
"TEWA","Call",0.939750810252248,2,0,2,0
"CANG","Call",0.940952416137042,209,0,15,0
"VEER","Call",0.941755481083602,64,0,15,0
"CEDW","Call",0.942409721162214,86,0,15,0
"WISN","Call",0.944147516880041,67,1,15,1
"HETH","Call",0.94889248942475,8,0,8,0
"ALFL","Call",0.954365362763847,16,0,15,0
"SWTH","Call",0.966485423845985,30,0,15,0
"RUGR","Call",0.96883599212021,1,0,1,0
"OVEN","Call",0.971573564595885,1,0,1,0
"WTSP","Call",0.98535653896891,3,0,3,0
