"original_id","vocalization","mean","Confident","NeedsReview","NuConfToVer","NuNeedsRevToVer"
"CCSP","Song",0.909446789608894,50,0,15,0
"CANG","Song",0.910121627067386,6,0,6,0
"AMBI","Song",0.910833876862872,17,0,15,0
"LISP","Song",0.912281507958343,25,0,15,0
"WISN","Song",0.915023690076418,32,0,15,0
"YHBL","Song",0.919110011169728,20,1,15,1
"HETH","Song",0.929329718404405,51,1,15,1
"SACR","Song",0.948846210380164,19,0,15,0
"WTSP","Song",0.948961544364445,58,0,15,0
"SWSP","Song",0.949369821578781,164,1,15,1
"VEER","Song",0.961620184881233,44,0,15,0
"ALFL","Song",0.966408262608617,70,0,15,0
"SEWR","Song",0.9704567640744,44,2,15,2
"RWBL","Song",0.979629291702942,148,0,15,0
"COYE","Song",0.983330765567963,200,0,15,0
"MAWR","Song",0.989785339104439,198,3,15,3
"AMRO","Call",0.688644948940234,3,1,3,1
"MODO","Call",0.823239368292923,12,0,12,0
"CORA","Call",0.829777660029953,16,1,15,1
"AMCR","Call",0.836081881431544,34,0,15,0
"BLJA","Call",0.88595023282347,17,0,15,0
"CANG","Call",0.910121627067386,16,1,15,1
"WISN","Call",0.915023690076418,28,0,15,0
"YHBL","Call",0.919110011169728,1,0,1,0
"HETH","Call",0.929329718404405,3,1,3,1
"CEDW","Call",0.933149730069042,31,1,15,1
"SACR","Call",0.948846210380164,49,0,15,0
"VEER","Call",0.961620184881233,54,0,15,0
"ALFL","Call",0.966408262608617,5,0,5,0
"SEWR","Call",0.9704567640744,3,0,3,0
"RWBL","Call",0.979629291702942,62,3,15,3
"COYE","Call",0.983330765567963,6,1,6,1
"MAWR","Call",0.989785339104439,2,0,2,0
