"original_id","vocalization","mean","Confident","NeedsReview","NuConfToVer","NuNeedsRevToVer"
"UNWO","Song",0.814372634135211,1,0,1,0
"UNTR","Song",0.820841133454516,10,2,5,2
"UNDU","Call",0.860923650380409,4,1,4,1
"UNDU","Non-vocal",0.860923650380409,1,1,1,1
"UNWA","Song",0.888029074479655,12,3,5,3
"UNBI","Call",0.88847772571802,31,3,5,3
"UNBI","Non-vocal",0.88847772571802,12,0,5,0
"UNBI","Song",0.88847772571802,1,2,1,2
"UNKN","Call",0.88987080849258,1,2,1,2
"UNKN","Song",0.88987080849258,0,1,0,1
"UNMA","Call",0.892320258601404,2,1,2,1
"UNMA","Non-vocal",0.892320258601404,0,1,0,1
"UNDV","Song",0.896332661944544,1,0,1,0
"UNBL","Call",0.901822843278426,3,1,3,1
"UNOW","Song",0.915302034746712,1,0,1,0
"UNTH","Call",0.915302034746712,1,0,1,0
"UNFI","Call",0.916238531724621,2,0,2,0
"UNPA","Call",0.942472839857135,64,4,5,4
"UNPA","Non-vocal",0.942472839857135,9,0,5,0
"UNPA","Song",0.942472839857135,15,8,5,8
"SOSP","Song",0.56036396987513,21,0,15,0
"DEJU","Song",0.673838477575001,26,0,15,0
"CHSP","Song",0.726024541241022,21,1,15,1
"WCSP","Song",0.755968873582953,30,0,15,0
"YEWA","Song",0.771772871216762,27,0,15,0
"YRWA","Song",0.792780937889911,50,2,15,2
"AMRE","Song",0.795640900980786,57,6,15,6
"MODO","Song",0.81356914065318,18,0,15,0
"GRTF","Song",0.825799276402933,20,0,15,0
"SORA","Song",0.826982764171312,6,0,6,0
"AMCR","Song",0.828622031458507,1,0,1,0
"SWSP","Song",0.831622600468102,38,1,15,1
"WHIM","Song",0.846911940050977,15,0,15,0
"CSWA","Song",0.850471668583878,16,5,15,5
"LTDU","Song",0.852092523757668,15,0,15,0
"NAWA","Song",0.862802870988694,26,0,15,0
"ATSP","Song",0.862946661200738,22,0,15,0
"RWBL","Song",0.863103984979625,39,0,15,0
"WOFR","Song",0.867984900922447,15,2,15,2
"FOSP","Song",0.877184646022761,48,0,15,0
"AMRO","Song",0.891353130684976,66,4,15,4
"COLO","Song",0.895717790736493,12,0,12,0
"TEWA","Song",0.917125801474063,36,0,15,0
"COYE","Song",0.922547313649766,79,0,15,0
"AMBI","Song",0.928899979531002,33,0,15,0
"WISN","Song",0.948932763283117,67,1,15,1
"BCFR","Song",0.959457025705087,51,2,15,2
"VEER","Song",0.962929894760205,64,0,15,0
"LCSP","Song",0.964862527501551,22,0,15,0
"OVEN","Song",0.973935697599287,75,0,15,0
"RUGR","Song",0.980623191994471,52,0,15,0
"WTSP","Song",0.981583404291225,133,0,15,0
"SWTH","Song",0.992575619271091,189,0,15,0
"HETH","Song",0.994052537962166,261,0,15,0
"ABBE","Non-vocal",0.807487976057676,1,0,1,0
"PIWO","Non-vocal",0.829238008391437,1,0,1,0
"WBBE","Non-vocal",0.850521041587881,4,0,4,0
"BEAV","Non-vocal",0.862803407673171,1,0,1,0
"WISN","Non-vocal",0.948932763283117,2,0,2,0
"RUGR","Non-vocal",0.980623191994471,10,1,10,1
"MODO","Call",0.81356914065318,2,0,2,0
"SORA","Call",0.826982764171312,11,0,11,0
"AMCR","Call",0.828622031458507,15,0,15,0
"WHIM","Call",0.846911940050977,11,0,11,0
"LTDU","Call",0.852092523757668,4,0,4,0
"RWBL","Call",0.863103984979625,20,2,15,2
"WOFR","Call",0.867984900922447,0,1,0,1
"AMRO","Call",0.891353130684976,44,0,15,0
"COLO","Call",0.895717790736493,22,3,15,3
"CEDW","Call",0.922300394885378,21,1,15,1
"AMBI","Call",0.928899979531002,1,0,1,0
"CANG","Call",0.937633450071686,54,1,15,1
"WISN","Call",0.948932763283117,14,0,14,0
"VEER","Call",0.962929894760205,34,0,15,0
"WTSP","Call",0.981583404291225,1,0,1,0
"SWTH","Call",0.992575619271091,27,0,15,0
"HETH","Call",0.994052537962166,6,0,6,0
