ID1,common_name,np_tone,np_pattern,np_combined
RNGR,Red-necked Grebe,hoot,phrase,hoot_phrase
RTHA,Red-tailed Hawk,NA,NA,Call
RTHU,Ruby-throated Hummingbird,buzzy,phrase,buzzy_phrase
RUBL,Rusty Blackbird,polynoise,phrase,polynoise_phrase
RUDU,Ruddy Duck,NA,NA,Call
RUGR,Ruffed Grouse,hoot,trill,hoot_trill
RWBL,Red-winged Blackbird,polynoise,phrase,polynoise_phrase
SACR,Sandhill Crane,NA,NA,Call
SAPH,Say's Phoebe,whistle,phrase,whistle_phrase
SAVS,Savannah Sparrow,polynoise,phrase,polynoise_phrase
SCTA,Scarlet Tanager,whistle,phrase,whistle_phrase
SEPL,Semipalmated Plover,NA,NA,Call
SEWR,Sedge Wren,click,trill,click_trill
SORA,Sora,polynoise,warble,polynoise_warble
SOSA,Solitary Sandpiper,NA,NA,Call
SOSP,Song Sparrow,buzzy,warble,buzzy_warble
SPGR,Spruce Grouse,hoot,trill,hoot_trill
SPSA,Spotted Sandpiper,NA,NA,Call
SPTO,Spotted Towhee,buzzy,phrase,buzzy_phrase
SSHA,Sharp-shinned Hawk,NA,NA,Call
SWSP,Swamp Sparrow,click,trill,click_trill
SWTH,Swainson's Thrush,polynoise,warble,polynoise_warble
TEWA,Tennessee Warbler,click,phrase,click_phrase
TOSO,Townsend's Solitaire,whistle,phrase,whistle_phrase
TRES,Tree Swallow,NA,NA,Call
TRUS,Trumpeter Swan,NA,NA,Call
TUSW,Tundra Swan,NA,NA,Call
VATH,Varied Thrush,polynoise,phrase,polynoise_phrase
VEER,Veery,polynoise,warble,polynoise_warble
VIRA,Virginia Rail,click,series,click_series
WAVI,Warbling Vireo,whistle,warble,whistle_warble
WBNU,White-breasted Nuthatch,NA,NA,Call
WCSP,White-crowned Sparrow,whistle,phrase,whistle_phrase
WEGR,Western Grebe,NA,NA,Call
WETA,Western Tanager,whistle,phrase,whistle_phrase
WEWP,Western Wood-Pewee,buzzy,phrase,buzzy_phrase
WISN,Wilson's Snipe,hoot,trill,hoot_trill
WIWA,Wilson's Warbler,click,trill,click_trill
WIWR,Winter Wren,buzzy,warble,buzzy_warble
WODU,Wood Duck,NA,NA,Call
WOFR,Wood Frog,click,series,click_series
WTSP,White-throated Sparrow,whistle,series,whistle_series
WWCR,White-winged Crossbill,buzzy,trill,buzzy_trill
YBFL,Yellow-bellied Flycatcher,click,series,click_series
YBSA,Yellow-bellied Sapsucker,click,series,click_series
YERA,Yellow Rail,click,series,click_series
YEWA,Yellow Warbler,whistle,phrase,whistle_phrase
YHBL,Yellow-headed Blackbird,polynoise,phrase,polynoise_phrase
YRWA,Yellow-rumped Warbler,whistle,series,whistle_series
