spp,scientific_name,common_name,WJSpecID,Scientific,Scientific2,logphi,logtau,logphiSE,logtauSE,mass,logmass,MaxFreqkHz,Migr,Nesthm,habitat,food,behavior,Mig,Mig2,Hab2,Hab3,Hab4,xMaxFreqkHz
SOSP,Melospiza melodia,Song Sparrow,12517,Melospiza melodia,Melospiza melodia,-1.233578807,-0.127564736,0.021074291,0.004117443,21.91,3.086943154,9,Short distance migrant,0,Open Woodland,Insects,Ground Forager,SD,M,Closed,Wood,Wood,0.9
SPGR,Falcipennis canadensis,Spruce Grouse,417,Dendragapus canadensis,Dendragapus canadensis,-1.495354115,-0.735370345,0.235107328,0.054933374,473.65,6.160468652,6,Resident,0,Forest,Plants,Foliage Gleaner,WR,W,Closed,For,For,0.6
SPSA,Actitis macularius,Spotted Sandpiper,4104,Actitis macularius,Actitis macularius,-1.734465859,-0.048175925,0.100892202,0.029496439,40.4,3.698829785,5.426,Neotropical migrant,0,Shore-line,Small Animals,Probing,LD,M,Open,Open,Wet,0.5426
SWSP,Melospiza georgiana,Swamp Sparrow,12521,Melospiza georgiana,Melospiza georgiana,-1.381500724,-0.177039045,0.029039422,0.007557183,16.1,2.778819272,7.66,Short distance migrant,2,Marsh,Insects,Ground Forager,SD,M,Open,Open,Wet,0.766
SWTH,Catharus ustulatus,Swainson's Thrush,8906,Catharus ustulatus,Catharus ustulatus,-1.119127861,-0.175625894,0.008625615,0.002750863,30.3,3.411147713,6.05,Neotropical migrant,2,Forest,Insects,Foliage Gleaner,LD,M,Closed,For,For,0.605
TEWA,Oreothlypis peregrina,Tennessee Warbler,12670,Vermivora peregrina,Vermivora peregrina,-0.796669539,-0.518521001,0.00776488,0.002540533,8.9,2.186051277,10,Neotropical migrant,0,Forest,Insects,Foliage Gleaner,LD,M,Closed,For,For,1
TOSO,Myadestes townsendi,Townsend's Solitaire,8880,Myadestes townsendi,Myadestes townsendi,-2.092713451,-0.799172384,0.352529957,0.026688113,33.2,3.502549876,5.5,Short distance migrant,0,Open Woodland,Insects,Flycatching,SD,M,Closed,Wood,Wood,0.55
TOWA,Setophaga townsendi,Townsend's Warbler,12697,Dendroica townsendi,Dendroica townsendi,-2.091671552,-0.344078275,0.144168916,0.021978405,8.84,2.179286877,8.2,Neotropical migrant,11,Forest,Insects,Foliage Gleaner,LD,M,Closed,For,For,0.82
TRES,Tachycineta bicolor,Tree Swallow,9992,Tachycineta bicolor,Tachycineta bicolor,-1.482223761,-0.062066195,0.055011718,0.006682618,21.2,3.054001182,5.95,Neotropical migrant,4,Lake/Pond,Insects,Aerial Forager,LD,M,Open,Open,Wet,0.595
UPSA,Bartramia longicauda,Upland Sandpiper,4090,Bartramia longicauda,Bartramia longicauda,-1.810759175,0.350558199,0.120218354,0.039078961,158.92,5.068400931,4,Neotropical migrant,0,Grassland,Insects,Ground Forager,LD,M,Open,Open,Open,0.4
VATH,Ixoreus naevius,Varied Thrush,8836,Zoothera naevia,Zoothera naevia,-1.379707429,0.018782443,0.033764963,0.011284908,77.5,4.350277936,5.85,Short distance migrant,6,Forest,Insects,Ground Forager,SD,M,Closed,For,For,0.585
VEER,Catharus fuscescens,Veery,8902,Catharus fuscescens,Catharus fuscescens,-1.327409527,0.011533165,0.01267197,0.005127528,31.9,3.46260601,5.6,Neotropical migrant,0,Forest,Insects,Ground Forager,LD,M,Closed,For,For,0.56
VESP,Pooecetes gramineus,Vesper Sparrow,12568,Pooecetes gramineus,Pooecetes gramineus,-0.630372959,0.133788397,0.016803023,0.020134892,25.68,3.245712479,6.85,Short distance migrant,0,Grassland,Insects,Ground Forager,SD,M,Open,Open,Open,0.685
WAVI,Vireo gilvus,Warbling Vireo,7803,Vireo gilvus,Vireo gilvus,-1.099469632,-0.299399048,0.027822765,0.007542145,12.67,2.539236994,6.9,Neotropical migrant,8,Open Woodland,Insects,Foliage Gleaner,LD,M,Closed,Wood,Wood,0.69
WBNU,Sitta carolinensis,White-breasted Nuthatch,9636,Sitta carolinensis,Sitta carolinensis,-1.899846341,-0.227106129,0.058185283,0.013856122,21,3.044522438,2.9,Resident,5,Forest,Insects,Bark Forager,WR,W,Closed,For,For,0.29
WCSP,Zonotrichia leucophrys,White-crowned Sparrow,12526,Zonotrichia leucophrys,Zonotrichia leucophrys,-1.325756175,0.06614307,0.023313698,0.013470569,28,3.33220451,7,Short distance migrant,1,Scrub,Insects,Ground Forager,SD,M,Open,Open,Open,0.7
WETA,Piranga ludoviciana,Western Tanager,12916,Piranga ludoviciana,Piranga ludoviciana,-1.239502309,-0.312713969,0.026467567,0.006828731,28.1,3.335769576,4.42,Neotropical migrant,11,Forest,Insects,Foliage Gleaner,LD,M,Closed,For,For,0.442
WEWP,Contopus sordidulus,Western Wood-Pewee,6027,Contopus sordidulus,Contopus sordidulus,-1.183738337,-0.317708689,0.049006327,0.015785635,13.1,2.57261223,5.25,Neotropical migrant,8,Open Woodland,Insects,Flycatching,LD,M,Closed,Wood,Wood,0.525
WIPT,Lagopus lagopus,Willow Ptarmigan,423,Lagopus lagopus,Lagopus lagopus,-2.863188036,0.573115843,0.514145201,0.158365979,566.86,6.34011236,7,Resident,0,Scrub,Plants,Foliage Gleaner,WR,W,Open,Open,Open,0.7
WISN,Gallinago delicata,Wilson's Snipe,4051,Gallinago gallinago,Gallinago gallinago,-1.270372714,0.205792986,0.020502274,0.009865401,112.94,4.726856704,2.4,Neotropical migrant,0,Marsh,Insects,Probing,LD,M,Open,Open,Wet,0.24
WIWA,Cardellina pusilla,Wilson's Warbler,12752,Wilsonia pusilla,Wilsonia pusilla,-1.369867657,-0.500177093,0.032315037,0.012121123,6.96,1.940179474,8.1,Neotropical migrant,0,Scrub,Insects,Foliage Gleaner,LD,M,Open,Open,Open,0.81
WIWR,Troglodytes hiemalis,Winter Wren,9750,Troglodytes troglodytes,Troglodytes troglodytes,-1.056269066,-0.049381964,0.013693046,0.00425941,9.74,2.276241118,9,Short distance migrant,1,Forest,Insects,Ground Forager,SD,M,Closed,For,For,0.9
WOTH,Hylocichla mustelina,Wood Thrush,8910,Hylocichla mustelina,Hylocichla mustelina,-1.187224168,0.174654193,0.037844148,0.012922673,50.09,3.913821387,4.43,Neotropical migrant,2,Forest,Insects,Ground Forager,LD,M,Closed,For,For,0.443
WTSP,Zonotrichia albicollis,White-throated Sparrow,12524,Zonotrichia albicollis,Zonotrichia albicollis,-1.199845448,-0.075175622,0.00673809,0.002087481,24.4,3.194583132,6.6,Short distance migrant,0,Forest,Seeds,Ground Forager,SD,M,Closed,For,For,0.66
WWCR,Loxia leucoptera,White-winged Crossbill,12397,Loxia leucoptera,Loxia leucoptera,-2.050216042,-0.374976808,0.05169876,0.008048096,28.69,3.35654863,6.2,Nomadic,12,Forest,Seeds,Foliage Gleaner,WR,W,Closed,For,For,0.62
YBCU,Coccyzus americanus,Yellow-billed Cuckoo,1858,Coccyzus americanus,Coccyzus americanus,-1.866122988,0.069125942,0.176215966,0.068841277,64,4.158883083,0.9,Neotropical migrant,2,Open Woodland,Insects,Foliage Gleaner,LD,M,Closed,Wood,Wood,0.09
YBFL,Empidonax flaviventris,Yellow-bellied Flycatcher,6036,Empidonax flaviventris,Empidonax flaviventris,-1.301434463,-0.318147582,0.021162723,0.007193762,11.8,2.468099531,4,Neotropical migrant,0,Forest,Insects,Flycatching,LD,M,Closed,For,For,0.4
YBSA,Sphyrapicus varius,Yellow-bellied Sapsucker,900,Sphyrapicus varius,Sphyrapicus varius,-1.866099675,-0.145433348,0.023995949,0.004829916,50.3,3.918005077,2.41,Short distance migrant,8,Forest,Insects,Bark Forager,SD,M,Closed,For,For,0.241
YEWA,Setophaga petechia,Yellow Warbler,12683,Dendroica petechia,Dendroica petechia,-1.111997064,-0.358642188,0.020141071,0.004961969,10.22,2.324346585,6.75,Neotropical migrant,1,Open Woodland,Insects,Foliage Gleaner,LD,M,Closed,Wood,Wood,0.675
YHBL,Xanthocephalus xanthocephalus,Yellow-headed Blackbird,13397,Xanthocephalus xanthocephalus,Xanthocephalus xanthocephalus,-0.818925667,-0.120444955,0.054696946,0.104191561,62.68,4.138042417,7.3,Neotropical migrant,0,Marsh,Insects,Ground Forager,LD,M,Open,Open,Wet,0.73
YRWA,Setophaga coronata,Yellow-rumped Warbler,12692,Dendroica coronata,Dendroica coronata,-1.247879434,-0.525826363,0.008156612,0.002304119,11.94,2.479894108,5.8,Short distance migrant,4,Forest,Insects,Foliage Gleaner,SD,M,Closed,For,For,0.58
YTVI,Vireo flavifrons,Yellow-throated Vireo,7789,Vireo flavifrons,Vireo flavifrons,-1.612169039,-0.152152072,0.062397353,0.041776593,18,2.890371758,5,Neotropical migrant,12,Open Woodland,Insects,Foliage Gleaner,LD,M,Closed,Wood,Wood,0.5
