spp,scientific_name,common_name,WJSpecID,Scientific,Scientific2,logphi,logtau,logphiSE,logtauSE,mass,logmass,MaxFreqkHz,Migr,Nesthm,habitat,food,behavior,Mig,Mig2,Hab2,Hab3,Hab4,xMaxFreqkHz
CHSP,Spizella passerina,Chipping Sparrow,12560,Spizella passerina,Spizella passerina,-1.267196822,-0.355149604,0.01166722,0.003340714,12.2,2.501435952,5.98,Short distance migrant,2,Open Woodland,Seeds,Ground Forager,SD,M,Closed,Wood,Wood,0.598
CLSW,Petrochelidon pyrrhonota,Cliff Swallow,10121,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,-1.48520559,-0.263952536,0.126939823,0.017497614,21.6,3.072693315,7,Neotropical migrant,4,Lake/Pond,Insects,Aerial Forager,LD,M,Open,Open,Wet,0.7
CMWA,Setophaga tigrina,Cape May Warbler,12690,Dendroica tigrina,Dendroica tigrina,-1.287485462,-0.849089299,0.035948101,0.013656911,10.04,2.306577114,8.65,Neotropical migrant,11,Forest,Insects,Foliage Gleaner,LD,M,Closed,For,For,0.865
COGR,Quiscalus quiscula,Common Grackle,13439,Quiscalus quiscula,Quiscalus quiscula,-1.492820346,-0.114690339,0.128510726,0.003934797,105.18,4.655673168,4,Short distance migrant,3,Open Woodland,Omnivore,Ground Forager,SD,M,Closed,Wood,Wood,0.4
CONW,Oporornis agilis,Connecticut Warbler,12729,Oporornis agilis,Oporornis agilis,-0.842706836,-0.349268209,0.029584012,0.007154651,13.3,2.587764035,16,Neotropical migrant,0,Forest,Insects,Ground Forager,LD,M,Closed,For,For,1.6
CORA,Corvus corax,Common Raven,8124,Corvus corax,Corvus corax,-1.642479367,0.442037597,0.024298442,0.008725153,927.97,6.832999405,4,Resident,17,Mountains,Omnivore,Ground Forager,WR,W,Open,Open,Open,0.4
COYE,Geothlypis trichas,Common Yellowthroat,12733,Geothlypis trichas,Geothlypis trichas,-1.173765787,-0.178959363,0.014417683,0.004649993,9.54,2.255493485,6.3,Short distance migrant,0,Scrub,Insects,Foliage Gleaner,SD,M,Open,Open,Open,0.63
CSWA,Setophaga pensylvanica,Chestnut-sided Warbler,12688,Dendroica pensylvanica,Dendroica pensylvanica,-1.21457615,-0.239024975,0.010996167,0.00476709,9.29,2.228938553,7.5,Neotropical migrant,1,Open Woodland,Insects,Foliage Gleaner,LD,M,Closed,Wood,Wood,0.75
DEJU,Junco hyemalis,Dark-eyed Junco,12529,Junco hyemalis,Junco hyemalis,-1.504142787,-0.3838905,0.016675925,0.004250245,19.5,2.970414466,8.2,Short distance migrant,0,Forest,Seeds,Ground Forager,SD,M,Closed,For,For,0.82
DOWO,Picoides pubescens,Downy Woodpecker,960,Picoides pubescens,Picoides pubescens,-2.220961417,-0.274465147,0.099974841,0.012537879,25.55,3.240637317,4.25,Resident,6,Forest,Insects,Bark Forager,WR,W,Closed,For,For,0.425
DUNL,Calidris alpina,Dunlin,4135,Calidris alpina,Calidris alpina,-2.458917523,0.292589016,0.838646005,0.122267883,51.89,3.949126093,3.5,Short distance migrant,0,Shore-line,Insects,Probing,SD,M,Open,Open,Wet,0.35
EABL,Sialia sialis,Eastern Bluebird,8871,Sialia sialis,Sialia sialis,-2.649169806,-0.142009285,0.522188427,0.026771227,27.5,3.314186005,3.5,Short distance migrant,3,Grassland,Insects,Ground Forager,SD,M,Open,Open,Open,0.35
